"name";"rating";"genre";"year";"released";"score";"votes";"director";"writer";"star";"country";"budget";"gross";"company";"runtime"
"The Shining";"R";"Drama";"1980";"June 13 1980 (United States)";"8.4";"927000.0";"Stanley Kubrick";"Stephen King";"Jack Nicholson";"United Kingdom";"19000000";"46998772.0";"Warner Bros.";"146.0"
"Tenet";"PG-13";"Action";"2020";"September 3 2020 (United States)";"7.3";"600000.0";"Christopher Nolan";"Christopher Nolan";"John David Washington";"United States";"205000000";"363656624.0";"Warner Bros.";"150.0"
